stt,question,answer
19,"Trường hợp tổng thầu thực hiện hình thức hợp đồng EPC thực hiện một số công việc quản lý dự án thuộc trách nhiệm của chủ đầu tư thì tổng thầu được hưởng chi phí quản lý dự án thế nào sau đây?
a. Được hưởng một phần chi phí quản lý dự án phù hợp với phạm vi, khối lượng công việc quản lý dự án do chủ đầu tư giao và được thỏa thuận trong hợp đồng tổng thầu.
b. Được hưởng toàn bộ chi phí quản lý dự án như trường hợp thuê tư vấn quản
lý dự án
c. Quản lý dự án là trách nhiệm của tổng thầu, không có chi phí cho khoản mục
này
d. Các đáp án trên đều sai",A
20,"Chi phí mua bảo hiểm trách nhiệm nghề nghiệp tư vấn thiết kế xây dựng của công trình từ cấp II trở lên thuộc khoản mục chi phí nào của dự toán gói thầu tư vấn đầu tư xây dựng:
a. Chi phí chuyên gia.
b. Chi phí thiết bị.
c. Chi phí khác;
d. Chi phí dự phòng.",C
21,"Trong suất vốn đầu tư do Bộ Xây dựng công bố:
a. Chưa bao gồm thuế giá trị gia tăng.
b. Đã bao gồm thuế giá trị gia tăng
c. Chưa bao gồm thuế giá trị gia tăng và chi phí dự phòng.
d. Chưa bao gồm thuế giá trị gia tăng nhưng đã có chi phí dự phòng.",D
22,"Chi phí công việc tư vấn đầu tư xây dựng không bao gồm nội dung nào sau đây?
a. Chi phí nhân công tư vấn (tiền lương, các khoản phụ cấp lương, tiền thưởng,
phúc lợi tập thể, các khoản đóng góp bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm
thất nghiệp, kinh phí công đoàn, trích nộp khác theo quy định của pháp luật đối
với các cá nhân thực hiện công việc tư vấn tại dự án)
b. Chi phí ứng dụng khoa học công nghệ, quản lý hệ thống thông tin công trình; chi phí thanh toán các dịch vụ công cộng, vật tư văn phòng phẩm, thông
tin, liên lạc
c. Chi phí thực hiện các công việc: giám sát, đánh giá đầu tư; thẩm định thiết kế xây dựng triển khai sau thiết kế cơ sở và thẩm định dự toán xây dựng
d. Chi phí thuê mướn, sửa chữa, mua sắm tài sản phục vụ tư vấn cho dự án
(nếu có); chi phí quản lý của tổ chức tư vấn; chi phí khác; thu nhập chịu thuế tính trước",C
23,"Khi sử dụng định mức dự toán (ban hành theo Thông tư của Bộ Xây dựng hoặc
cấp có thẩm quyền) để tính dự toán công tác đóng cọc bằng máy, đối với đoạn
cọc không ngập đất hao phí nhân công và máy thi công được tính như thế nào.
a. Bằng 50% định mức của đoạn cọc ngập đất.
b. Bằng 75% định mức của đoạn cọc ngập đất.
c. Bằng 25% định mức của đoạn cọc ngập đất.
d. Bằng 85% định mức của đoạn cọc ngập đất",B
24,"Quy định nào sau đây về thu hồi tiền tạm ứng là đúng?
a. Phải đảm bảo thu hồi hết khi giá trị thanh toán khối lượng hoàn thành đạt 80% giá trị hợp đồng.
b. Phải đảm bảo thu hồi hết khi giá trị thanh toán khối lượng hoàn thành đạt 90% giá trị hợp đồng.
c. Bắt buộc thu hồi tạm ứng từ lần thanh toán đầu tiên theo tỷ lệ phần trăm tiền
tạm ứng và đảm bảo thu hồi hết khi giá trị thanh toán khối lượng hoàn thành đạt 80% giá trị hợp đồng.
d. Bắt buộc thu hồi tạm ứng từ lần thanh toán đầu tiên theo tỷ lệ phần trăm tiền
tạm ứng và đảm bảo thu hồi hết khi giá trị thanh toán khối lượng hoàn thành đạt 80% giá trị hợp đồng.",A
25,"Chi phí thuê tư vấn nước ngoài được xác định theo đáp án nào sau đây là đúng?
a. Phù hợp với loại công việc tư vấn trên cơ sở số lượng chuyên gia, trình độ chuyên gia tư vấn, thời gian làm việc của chuyên gia, mức tiền lương của chuyên gia của quốc gia và khu vực dự kiến thuê và các chi phí cần thiết khác để hoàn thành công việc tư vấn
b. Phù hợp với bằng cấp chuyên môn của chuyên gia tư vấn và thời gian làm việc của chuyên gia
c. Được tính trên cơ sở định mức chi phí tư vấn theo quy định chung
d. Được tính chung đối với chi phí chuyên gia mang tính đặc thù",A
26,"Theo quy định hiện hành, sơ bộ tổng mức đầu tư xây dựng là một nội dung của:
a. Báo cáo nghiên cứu khả thi đầu tư xây dựng
b. Báo cáo nghiên cứu tiền khả thi đầu tư xây dựng
c. Báo cáo kinh tế - kỹ thuật đầu tư xây dựng
d. Báo cáo lập dự án đầu tư xây dựng",B
27,"Quyết định phê duyệt dự án đầu tư xây dựng của người quyết định đầu tư không bao gồm nội dung nào sau đây ?
a. Loại, nhóm dự án; loại, cấp công trình chính; thời hạn sử dụng theo thiết kế
của công trình chính;
b. Biện pháp thi công chủ yếu, biện pháp đảm bảo an toàn và môi trường xây
dựng;
c. Số bước thiết kế, danh mục tiêu chuẩn chủ yếu được lựa chọn;
d. Tổng mức đầu tư; giá trị các khoản mục chi phí trong tổng mức đầu tư;",B
28,"Dự án đầu tư xây dựng phải thực hiện quyết toán vốn đầu tư xây dựng trong trường hợp nào sau đây?
a. Sau khi công trình của dự án được hoàn thành bàn giao đưa vào sử dụng
b. Dự án bị dừng thực hiện vĩnh viễn khi cấp có thẩm quyền có văn bản dừng hoặc cho phép chấm dứt thực hiện dự án.
c. Trong trường hợp a hoặc b
d. Khi người quyết định đầu tư yêu cầu",C
29,"Theo quy định hiện hành, phát biểu nào dưới đây về Suất vốn đầu tư do Bộ Xây dựng công bố là đúng:
a. Suất vốn đầu tư bao gồm các chi phí: xây dựng, thiết bị, quản lý dự án đầu tư
xây dựng, tư vấn đầu tư xây dựng, các khoản chi phí khác và chi phí dự phòng.
Suất vốn đầu tư tính toán đã bao gồm thuế giá trị gia tăng cho các chi phí nêu trên.
b. Suất vốn đầu tư bao gồm các chi phí: xây dựng, thiết bị, quản lý dự án đầu tư xây dựng, tư vấn đầu tư xây dựng và các khoản chi phí khác. Suất vốn đầu tư tính toán chưa bao gồm thuế giá trị gia tăng cho các chi phí nêu trên.
c. Suất vốn đầu tư chưa bao gồm chi phí thực hiện một số loại công việc theo yêu cầu riêng của dự án/công trình xây dựng cụ thể như chi phí bồi thường, hỗ
trợ và tái định cư, Lãi vay trong thời gian thực hiện đầu tư xây dựng, vốn lưu động ban đầu, Chi phí dự phòng trong tổng mức đầu tư,...
d. Không phát biểu nào đúng.",C
30,"Trong các chỉ tiêu sau, chỉ tiêu nào là suất vốn đầu tư?
a. 300 triệu đồng/Dầm bê tông cốt thép dự ứng lực mác 40Mpa, dầm I, dài 18m.
b. 290 nghìn đồng/m2 mặt đường cấp phối đá dăm láng nhựa tiêu chuẩn 3.0kg/m2, mô đun đàn hồi Eyc ≥ 80MpA.
c. 6.570.000 đồng/m2 sàn nhà chung cư ≤ 7 tầng.
d. Tất cả các chỉ tiêu trên",C
31,"Trong các chỉ tiêu sau, chỉ tiêu nào là giá xây dựng tổng hợp bộ phận kết cấu công trình?
a. 300 triệu đồng/ Dầm bê tông cốt thép dự ứng lực mác 40Mpa, dầm I, dài 18m.
b. 54 triệu đồng/cháu mẫu giáo khi quy mô đầu tư xây dựng nhà trẻ 75 < số cháu ≤ 125.
c. Cả hai phương án a và b.
d. Không có chỉ tiêu nào là giá xây dựng tổng hợp bộ phận kết cấu công trình.",A
32,"Dòng tiền của dự án theo quan điểm của ngân hàng được xác định bằng:
a. Tổng khấu hao và lợi nhuận
b. Lợi nhuận sau thuế
c. Tổng dòng thu bằng tiền trừ đi tổng dòng chi bằng tiền, bao gồm chi trả lãi vay
d. Tổng dòng thu bằng tiền trừ đi tổng dòng chi bằng tiền không bao gồm tiền
vay và trả nợ vay",D
33,"Khi sử dụng phương pháp đánh giá dự án bằng giá trị hiện tại thuần (Net Present Value), quyết định chấp nhận dự án nếu:
a. NPV bằng đầu tư ban đầu
b. NPV có thể <0 nhưng IRR (Internal Rate of Return) tối thiểu bằng lãi suất tiền gửi ngân hàng
c. NPV>0
d. NPV có thể lớn hơn hoặc nhỏ hơn 0 nhưng IRR của dự án lớn hơn lãi suất cho vay.",C
34,"Trong suất vốn đầu tư do Bộ Xây dựng công bố:
a. Chưa bao gồm thuế giá trị gia tăng.
b. Đã bao gồm thuế giá trị gia tăng
c. Chưa bao gồm thuế giá trị gia tăng và chi phí dự phòng.
d. Chưa bao gồm thuế giá trị gia tăng nhưng đã có chi phí dự phòng.",C
35,"Hệ thống chỉ số giá xây dựng được công bố theo quy định hiện hành bao gồm:
a. Chỉ số giá xây dựng quốc gia, chỉ số giá xây dựng theo loại công trình
b. Chỉ số giá xây dựng quốc gia, chỉ số giá xây dựng theo loại công trình, theo
cơ cấu chi phí, theo yếu tố chi phí
c. Chỉ số giá xây dựng quốc gia, chỉ số giá xây dựng theo loại công trình, theo
cơ cấu chi phí.
d. Chỉ số giá xây dựng quốc gia, chỉ số giá xây dựng theo loại công trình, theo
cơ cấu chi phí, theo yếu tố chi phí, chỉ số giá xây dựng cấp cơ sở.",B
36,"Việc thanh toán hợp đồng xây dựng được thực hiện như thế nào là đúng sau đây?
a. Phải phù hợp với loại hợp đồng, giá hợp đồng và các điều kiện trong hợp đồng mà các bên đã ký kết.
b. Khi thanh toán theo các thỏa thuận trong hợp đồng các bên không phải ký phụ lục hợp đồng, trừ trường hợp bổ sung công việc chưa có trong hợp đồng.
c. Đáp án a và b đúng
d. Không đáp án nào là đúng",C
37,"Khi sử dụng định mức dự toán hiện hành (do Bộ Xây dựng ban hành) để tính dự toán công tác đổ bê tông tường của công trình cao 52m thì theo phương án nào sau đây là đúng?
a. Áp dụng mã hiệu định mức công tác đổ bê tông cho công trình có chiều cao
> 50m cho toàn bộ khối bê tông.
b. Phân tách khối lượng đổ bê tông theo chiều cao công trình đến 4m, từ 4m-16m, từ 16m - 50 m và > 50m.
c. Tính bình quân định mức cho khối lượng đổ bê tông theo chiều cao công trình đến 4m, từ 4m - 16m, từ 16m - 50 m và > 50m.
d. Quy định cụ thể cách áp dụng sẽ do địa phương có văn bản hướng dẫn.",A
38,"Dự án đầu tư xây dựng công trình gồm có 1 tòa nhà chung cư cao 20 tầng và 1
chung cư cao 15 tầng, ngoài ra còn đường nội bộ, cổng hàng rào và nhà bảo vệ.
Hỏi chi phí tư vấn thiết kế xây dựng trong tổng mức đầu tư xây dựng của dự án
tính thế nào là đúng?
a. Tính dự toán chi phí xây dựng các công trình trong tổng mức đầu tư và tra định mức chi phí thiết kế công trình dân dụng. Chi phí tư vấn thiết kế tính ra như trên chưa có thuế giá trị gia tăng.
b. Tính dự toán chi phí xây dựng các công trình trong tổng mức đầu tư và tra định mức chi phí thiết kế công trình dân dụng. Chi phí tư vấn thiết kế tính ra như trên đã có thuế giá trị gia tăng.
c. Tra định mức chi phí tỷ lệ cho từng loại công trình theo giá trị chi phí xây dựng trước thuế. Cộng các chi phí tư vấn thiết kế của tất cả các công trình tính
được chi phí tư vấn thiết kế của dự án. Chi phí tư vấn thiết kế tính ra như trên chưa có thuế giá trị gia tăng.
d. Tra định mức chi phí tỷ lệ cho từng công trình theo giá trị chi phí xây dựng trước thuế của từng hạng mục. Cộng các chi phí tư vấn thiết kế của tất cả các hạng mục tính được chi phí tư vấn thiết kế của dự án. Chi phí tư vấn thiết kế
tính ra như trên đã có thuế giá trị gia tăng.",C
39,"Định mức dự toán xây dựng công trình được xác định trên cơ sở:
a. Định mức chi phí
b. Định mức cơ sở
c. Định mức kinh tế - kỹ thuật
d. Tất cả các phương án trên",B
40,"Định mức kinh tế - kỹ thuật gồm:
a. Định mức cơ sở, định mức dự toán xây dựng công trình và định mức chi phí
b. Định mức sử dụng vật liệu, định mức lao động, định mức năng suất máy
và
thiết bị thi công
c. Định mức cơ sở và định mức dự toán xây dựng công trình.
d. Định mức dự toán xây dựng công trình và định mức chi phí",C
41,"Khi xác định định mức dự toán xây dựng công trình mới, việc tính toán hao phí
nhân công được xác định theo phương pháp nào sau đây?
a. Theo dây chuyền công nghệ tổ chức thi công
b. Theo số liệu thống kê của công trình đã và đang thực hiện có điều kiện, biện
pháp thi công tương tự
c. Theo số liệu khảo sát thực tế
d. Tất cả các đáp án trên đều đúng",D
42,"Khi xác định định mức dự toán xây dựng công trình mới, việc tính toán hao phí
máy thi công phải sử dụng hệ số chuyển đổi sang định mức dự toán xây dựng Kcđ. Hệ số này phụ thuộc vào nhóm công tác, công việc (đơn giản hay phức tạp theo dây chuyền công nghệ tổ chức thi công), yêu cầu kỹ thuật, điều kiện thi công, chu kỳ làm việc liên tục hoặc gián đoạn, khối lượng thực hiện công việc liên tục của công tác.). Kcđ được xác định theo kinh nghiệm chuyên gia quy định trong khoảng nào sau đây?
a. Kcđ =1,05÷1,3
b. Kcđ =1,15÷1,35
c. Kcđ =1,25÷1,45
d. Kcđ =1,25÷1,35",A
43,"Giá xây dựng tổng hợp là cơ sở để xác định?
a. Tổng mức đầu tư xây dựng, dự toán xây dựng công trình và dự toán gói thầu
xây dựng.
b. Dự toán xây dựng công trình và dự toán gói thầu xây dựng
c. Tổng mức đầu tư xây dựng và dự toán xây dựng công trình
d. Tổng mức đầu tư và dự toán gói thầu.",C
44,"Suất vốn đầu tư xây dựng không bao gồm những nội dung nào sau đây?
a. Chi phí xây dựng; chi phí thiết bị
b. Chi phí tư vấn đầu tư xây dựng; một số khoản mục chi phí khác và thuế giá trị gia tăng cho các chi phí nêu trên
c. Chi phí dự phòng và chi phí thực hiện một số loại công việc theo yêu cầu riêng của dự án, công trình
d. Chi phí quản lý dự án",C
45,"Phí thẩm định thiết kế cơ sở của dự án đầu tư xây dựng công trình thực hiện theo quy định của cơ quan nào?
a. UBND cấp tỉnh;
b. Bộ Tài chính;
c. Bộ Xây dựng
d. Liên Bộ Tài chính - Xây dựng",B
46,"Phí thẩm định dự án đầu tư xây dựng công trình thuộc khoản mục chi phí nào trong Tổng mức đầu tư dự án theo phương án trả lời dưới đây là đúng?
a. Chi phí quản lý dự án;
b. Chi phí tư vấn đầu tư xây dựng công trình;
c. Chi phí khác
d. Chi phí xây dựng",C
47,"Trong suất vốn đầu tư do Bộ Xây dựng công bố:
a. Chưa bao gồm thuế giá trị gia tăng.
b. Đã bao gồm thuế giá trị gia tăng
c. Chưa bao gồm thuế giá trị gia tăng và chi phí dự phòng.
d. Chưa bao gồm thuế giá trị gia tăng nhưng đã có chi phí dự phòng.",C
48,"Nội dung chi phí đầu tư nào sau đây không được quyết toán?
a. Các chi phí thiệt hại xảy ra trong quá trình đầu tư xây dựng thuộc trách
nhiệm của bảo hiểm.
b. Các chi phí của các khối lượng phá đi làm lại do lỗi của nhà thầu.
c. Chi phí thiệt hại do nguyên nhân bất khả kháng theo quy định của pháp luật.
d. Phương án a & b.",D 
49,"Nội dung thẩm định dự toán xây dựng công trình gồm:
a. Kiểm tra sự phù hợp khối lượng công tác xây dựng, chủng loại và số lượng thiết bị trong dự toán so với khối lượng, chủng loại và số lượng thiết bị tính toán từ thiết kế xây dựng, công nghệ.
b. Kiểm tra tính đúng đắn, hợp lý của việc áp dụng, vận dụng định mức dự toán, giá xây dựng của công trình và quy định khác có liên quan trong việc xác
định các khoản mục chi phí của dự toán xây dựng công trình.
c. Xác định giá trị dự toán xây dựng công trình sau thẩm định và kiến nghị giá
trị dự toán xây dựng để cấp có thẩm quyền xem xét, phê duyệt. Đánh giá mức độ tăng, giảm của các khoản mục chi phí, phân tích nguyên nhân tăng, giảm so
với giá trị dự toán xây dựng công trình đề nghị thẩm định.
d. Tất cả các mục trên.",D
50,"Chi phí xây dựng công trình phụ trợ phục vụ thi công thuộc chi phí nào trong tổng mức đầu tư của dự án đầu tư xây dựng công trình:
a. Chi phí xây dựng.
b. Chi phí khác.
c. Chi phí quản lý dự án
d. Tất cả các phương án trên đều đúng.",A
51,"Trường hợp nhà thầu thi công xây dựng công trình phải tự tổ chức khai thác và
sản xuất các loại vật liệu đất, đá, cát sỏi để phục vụ thi công xây dựng công trình thì chi phí chung tính trong dự toán xác định giá vật liệu bằng:
a. 2,5% trên chi phí nhân công và chi phí máy thi công
b. 2,5% trên chi phí vật liệu, nhân công và chi phí máy thi công
c. 3,5% trên chi phí nhân công và chi phí máy thi công
d. 3,5% trên chi phí vật liệu, nhân công và chi phí máy thi công",A
52,"Giá ca máy chờ đợi được xác định gồm các chi phí:
a. 50% chi phí khấu hao, 50% chi phí nhân công điều khiển và chi phí khác của
máy.
b. 50% chi phí khấu hao, 50% chi phí nhân công và 50% chi phí khác.
c. Chi phí khấu hao và chi phí nhân công.
d. 50% chi phí khấu hao",A
53,"Giá ca máy được điều chỉnh theo những phương pháp nào dưới đây?
a. Bù trừ trực tiếp.
b. Hệ số điều chỉnh.
c. Chỉ số giá xây dựng.
d. Tất cả các phương án trên.",D
54,"Theo quy định hiện hành, đối với máy có giá trị từ 30 triệu đồng trở lên, giá trị
thu hồi được tính bằng bao nhiêu % của nguyên giá máy và thiết bị thi công xây dựng?
a. 5%.
b. 10%.
c. 15%.
d. 20%.",B
55,"Theo quy định hiện hành, có bao nhiêu khoản mục chi phí trong tổng mức đầu
tư xây dựng?
a.. 5 khoản mục
b. 6 khoản mục
c. 7 khoản mục
d. 8 khoản mục",C 
56,"Chi phí chung của chi phí xây dựng gồm những chi phí nào sau đây:
a. Chi phí quản lý doanh nghiệp;
b. Chi phí điều hành sản xuất tại công trường, chi phí phục vụ công nhân;
c. Chi phí phục vụ thi công tại công trường và một số chi phí phục vụ cho quản
lý khác của doanh nghiệp;
d. Tất cả các mục trên",D 
57,"Hố móng hình chữ nhật, đào mở mái taluy có kích thước như hình vẽ dưới, đáy
dưới và đáy trên song song cách đều nhau, chọn một đáp án sau đây có công
thức tính đúng khối lượng đào đất:
S1: Diện tích đáy hố đào.
S2: Diện tích miệng hố đào (S2//S1).
S3: Diện tích tiết diện cách đều S1 và S2.
H: Khoảng cách giữa hai đáy.
a. V = (S1+S2+S3)*H/6
b. V = (S1+S2+4S3)*H/6
c. V = [(a1*b1+a2*b2+(a1+a2)*(b1+b2)]*H/6
d. B và C đều đúng",D 
