stt,question,answer
11,"Để được cấp chứng chỉ hành nghề hoạt động xây dựng, cá nhân phải đáp ứng
được điều kiện gì?
a. Có trình độ chuyên môn phù hợp với nội dung đề nghị cấp chứng chỉ hành
nghề
b. Có thời gian và kinh nghiệm tham gia công việc phù hợp với nội dung đề
nghị cấp chứng chỉ hành nghề
c. Đã qua sát hạch kiểm tra kinh nghiệm nghề nghiệp và kiến thức pháp luật
liên quan đến lĩnh vực hành nghề
d. Tất cả các điều kiện trên",D 
12,"Cơ quan nào có trách nhiệm tổ chức lập quy hoạch xây dựng?
a. Bộ Xây dựng
b. Ủy ban nhân dân các cấp
c. Chủ đầu tư dự án
d. Bộ Xây dựng và Ủy ban nhân dân các cấp",D 
13,"Loại nào dưới đây là Quy hoạch xây dựng?
a. Quy hoạch bảo quản, tu bổ, phục hồi di tích;
b. Quy hoạch khu chức năng đặc thù;
c. Quy hoạch hệ thống đô thị và nông thôn;
d. Quy hoạch chi tiết nhóm cảng biển, bến cảng, cầu cảng, bến phao, khu nước,
vùng nước.",B 
14,"Công tác quy hoạch xây dựng bao gồm những công việc chủ yếu nào sau đây?
a. Lập, phê duyệt nhiệm vụ và lập, phê duyệt đồ án quy hoạch xây dựng
b. Tổ chức triển khai, quản lý thực hiện theo quy hoạch được duyệt
c. Lập, xác định chi phí cho công tác quy hoạch
d. Tất cả các nội dung trên",D 
15,"Cấp nào có thẩm quyền phê duyệt nhiệm vụ và đồ án quy hoạch xây dựng khu
công nghệ cao?
a. Thủ tướng Chính phủ
b. Bộ Xây dựng
c. Hội đồng nhân dân các huyện trong vùng lập quy hoạch
d. Ủy ban nhân dân cấp Tỉnh",A 
16,"Cơ quan nào có thẩm quyền phê duyệt quy hoạch xây dựng vùng huyện ?
a. Ủy ban nhân dân tỉnh
b. Ủy ban nhân dân huyện
c. Hội đồng nhân dân tỉnh
d. Bộ Xây dựng",A 
17,"Ủy ban nhân dân cấp Tỉnh có thẩm quyền phê duyệt các quy hoạch nào dưới
đây:
a. Toàn bộ các quy hoạch liệt kê dưới đây
b. Quy hoạch xây dựng vùng liên huyện,
c. Quy hoạch chung xây dựng khu chức năng, trừ các quy hoạch do Thủ tướng
Chính phủ phê duyệt
d. Quy hoạch xây dựng vùng huyện;",A 
18,"Quy hoạch xây dựng vùng liên huyện, quy hoạch xây dựng vùng huyện được
điều chỉnh khi thuộc trường hợp sau đây ?
a. Có sự điều chỉnh mục tiêu của chiến lược phát triển kinh tế - xã hội, chiến
lược phát triển ngành, lĩnh vực làm thay đổi mục tiêu của quy hoạch;
b. Có sự điều chỉnh của quy hoạch cao hơn làm thay đổi nội dung quy hoạch
hoặc có sự mâu thuẫn với quy hoạch cùng cấp;
c. Có sự thay đổi, điều chỉnh địa giới hành chính làm ảnh hưởng đến tính chất,
quy mô không gian lãnh thổ của quy hoạch;
d. Khi thuộc một trong các trường hợp ở trên",D 
19,"Trình tự lập, phê duyệt quy hoạch xây dựng?
a. Lập, phê duyệt Nhiệm vụ quy hoạch xây dựng - Lập, phê duyệt đồ án quy
hoạch xây dựng
b. Lập, phê duyệt Nhiệm vụ quy hoạch xây dựng - Điều tra, khảo sát thực địa,
thu thập bản đồ, tài liệu, số liệu về hiện trạng - Lập, phê duyệt đồ án quy hoạch
xây dựng
c. Điều tra, khảo sát thực địa, thu thập bản đồ, tài liệu, số liệu về hiện trạng -
Lập, phê duyệt đồ án quy hoạch xây dựng
d. Lập, phê duyệt Nhiệm vụ quy hoạch xây dựng - Điều tra, khảo sát thực địa,
thu thập bản đồ, tài liệu, số liệu về hiện trạng - Lập đồ án quy hoạch xây dựng
- Thẩm định, phê duyệt đồ án quy hoạch xây dựng",D 
20,"Quy hoạch xây dựng vùng liên huyện được lập khi nào?
a. Theo đề xuất của Sở Xây dựng phù hợp với quy hoạch vùng, quy hoạch tỉnh
b. Nhằm đáp ứng yêu cầu quản lý, định hướng phát triển, xác định vai trò của
từng đơn vị hành chính cấp huyện, xã, thị trấn và các đô thị trong tổng thể phát
triển chung của vùng liên huyện, đảm bảo phân bổ nguồn lực quốc gia, tỉnh có
hiệu quả
c. Đước ủy ban nhân dân cấp tỉnh quyết định
d. Có đầy đủ các cơ sở trên",D 
21,"Tỷ lệ bản vẽ hồ sơ đồ án quy hoạch xây dựng vùng liên huyện nào đúng?
a. 1/500.000
b. 1/25.000 - 1/500.000
c. 1/25.000 - 1/100.000
d. 1/50.000 - 1/250.000",D 
22,"Tỷ lệ diện tích chiếm đất của các công trình kiến trúc chính trên diện tích lô đất
(không bao gồm diện tích chiếm đất của các công trình ngoài trời như tiểu cảnh
trang trí, bể bơi, bãi (sân) đỗ xe, sân thể thao, công trình hạ tầng kỹ thuật) được
xác định là khái niệm nào sau đây ?
a. Mật độ xây dựng thuần
b. Mật độ xây dựng gộp
c. Cả 2 đáp án trên là đúng
d. Cả 2 đáp án trên là sai",A 
23,"Yêu cầu về dự báo trong đồ án quy hoạch không bao gồm nội dung nào sau
đây?
a. Dự báo phải đề cập đến các vấn đề về tai biến thiên nhiên, môi trường, biến
đổi khí hậu và nước biển dâng;
b. Quy hoạch phân khu, quy hoạch chi tiết phải tuân thủ và cụ thể hóa các dự
báo của toàn đô thị;
c. Dự báo về dân số, lao động, đất đai dựa trên cơ sở chuỗi các số liệu với thời
gian tối thiểu của 2 năm gần nhất;
d. Kết quả của dự báo phải đảm bảo phù hợp với khả năng dung nạp, đáp ứng
của đất đai, hạ tầng xã hội, hạ tầng kỹ thuật và môi trường.",C 
24,"Những cá nhân nào sau đây bắt buộc phải có chứng chỉ hành nghề trong hồ sơ
năng lực thực hiện một đồ án quy hoạch xây dựng?
a. Chủ nhiệm đồ án và Chủ trì các bộ môn
b. Chủ nhiệm đồ án
c. Chủ trì phần kiến trúc
d. Tất cả các thành viên tham gia thực hiện đồ án quy hoạch xây dựng",A 
25,"Căn cứ để lập đồ án quy hoạch xây dựng ?
a. Luật, Nghị định, Thông tư hướng dẫn và các quy chuẩn
b. Hệ thống quy hoạch quốc gia và các quy hoạch có liên quan đã được phê
duyệt
c. Nhiệm vụ quy hoạch được duyệt
d. Tất cả các căn cứ trên",D 
26,"Cơ quan nào sau đây có thẩm quyền quyết định điều chỉnh cục bộ quy hoạch?
a. Cơ quan tổ chức lập quy hoạch
b. Cơ quan thẩm định quy hoạch
c. Cơ quan tư vấn lập quy hoạch
d. Cơ quan phê duyệt quy hoạch",D 
27,"Những cá nhân nào sau đây bắt buộc phải có chứng chỉ hành nghề trong hồ sơ
năng lực thực hiện hợp đồng thiết kế quy hoạch?
a. Chủ nhiệm dự án và Chủ trì các bộ môn
b. Chủ trì phần kiến trúc
c. Chủ trì phần kết cấu
d. Tất cả các thành viên tham gia thực hiện dự án",A 
28,"Nhiệm vụ thiết kế xây dựng không bao gồm nội dung nào sau đây ?
a. Các căn cứ để lập nhiệm vụ thiết kế xây dựng;
b. Mục tiêu xây dựng công trình;
c.Các yêu cầu về đáp ứng biện pháp thi công biện pháp an toàn và bảo vệ môi
trước xây dựng;
d. Địa điểm xây dựng công trình; Các yêu cầu về quy hoạch, cảnh quan và kiến
trúc của công trình;",C 
29,"Trong quá trình lập thiết kế xây dựng triển khai sau thiết kế cơ sở, chủ đầu tư
được quyết định việc điều chỉnh thiết kế trong trường hợp nào sau đây ?
a. Đáp ứng hiệu quả và yêu cầu sử dụng khi thay đổi về mục đích, công năng
công trình;
b. Đáp ứng hiệu quả và yêu cầu sử dụng khi không làm thay đổi về mục đích,
công năng, quy mô, các chỉ tiêu quy hoạch - kiến trúc tại quy hoạch chi tiết xây
dựng;
c. Đáp ứng hiệu quả và yêu cầu sử dụng khi thay đổi về các chỉ tiêu quy hoạch
- kiến trúc tại quy hoạch chi tiết xây dựng;
d. Cả đáp án a và c đúng.",B 
30,"Theo Luật, các loại quy hoạch đô thị và nông thôn bao gồm các loại nào dưới
đây?
a. Quy hoạch đô thị, quy hoạch nông thôn, quy hoạch khu chức năng, quy
hoạch không gian ngầm, quy hoạch chuyên ngành hạ tầng kỹ thuật
b. Quy hoạch đô thị và nông thôn; quy hoạch không gian tự nhiên
c. Quy hoạch đô thị và nông thôn; quy hoạch cấp vùng; quy hoạch xây dựng
ngành
d. Quy hoạch không gian ngầm và quy hoạch hạ tầng đô thị",A
31,"Theo Luật Quy hoạch đô thị và nông thôn, các cấp độ quy hoạch đô thị và
nông thôn bao gồm những cấp nào?
a. Quy hoạch chung, quy hoạch phân khu, quy hoạch chi tiết
b. Quy hoạch cấp vùng, quy hoạch phân khu, quy hoạch chi tiết
c. Quy hoạch vùng, quy hoạch đô thị, quy hoạch chi tiết
d. Quy hoạch tổng thể, quy hoạch phân khu, quy hoạch không gian ngầm",A
